"permutation","lod"
563,3.02971755323597
564,3.16394405186361
565,2.53133018888047
566,4.87769205079849
567,3.690393419781
568,2.8752779342426
569,3.69132842868498
570,3.49892264535652
571,2.53878097631309
572,2.32243340328432
573,3.85898459165423
574,4.3846657189049
575,4.65166454568543
576,3.97550764416405
577,2.27656812118039
578,3.22468263434143
579,3.25926829170635
580,3.25248211146345
581,3.28870683720265
582,2.75452241431412
583,2.51828831920056
584,2.37368365574844
585,3.79794071312358
586,3.58025279705521
587,2.96595938710379
588,3.07473699521279
589,3.08384988999819
590,2.995661240544
591,4.02734685360315
592,3.72013891677989
593,3.07136878250571
594,2.42893058130608
595,2.23123612739528
596,3.19798203270147
597,2.52013909282596
598,3.06148051239961
599,2.88763165353771
600,3.26123927315439
601,3.21147844230518
602,2.22770607044981
603,3.73187716309212
604,3.79480277712787
605,2.73304505619626
606,1.97018769675242
607,3.87909515789511
608,3.27428993748708
609,2.89993703670075
610,2.26286374125675
611,3.39387260714693
612,3.35258091467995
613,4.22633715271263
614,2.7943131319762
615,2.30801143112922
616,2.77732466921248
617,3.25295462353324
618,2.93918044868678
619,3.35714454054278
620,3.03814962434217
621,2.6062800560594
622,3.46458372728034
623,2.84306316418088
624,3.8723035887831
625,3.01026720063373
626,2.98244289623653
627,3.28378701224847
628,2.73926470594665
629,3.08105195971484
630,3.04360627533879
631,3.90760826664405
632,2.62642299678919
633,3.46167846509798
634,2.18868656755694
635,2.93254220324775
636,2.98474231261594
637,2.38254565980128
638,4.90547182280829
639,2.97224123269984
640,3.22332882799242
641,3.29556648264474
642,3.15514387641065
643,2.33313172463681
644,3.21679429822893
645,3.07385667686572
646,2.76858947009009
647,2.83900443936477
648,2.66145602001279
649,3.07759198610529
650,2.63145520626426
651,2.7373143600812
652,3.79598503102352
653,2.38426212013428
654,2.81023338218756
655,3.21820356232774
656,3.30358583754605
657,3.47557894555598
658,2.44170789427631
659,2.68765753161051
660,2.70102042933718
661,2.91209759985122
662,2.37277654822856
663,3.50128672392611
664,4.15805121827202
665,5.0467110655959
666,2.50604564896844
667,2.69657971356855
668,4.18131219442807
669,2.08693494239765
670,4.16761307353045
671,4.51473473918986
672,3.8798227686475
673,2.56471663628304
674,3.0136782472598
675,3.31925010176678
676,3.30807707797567
677,3.28886995745097
678,2.67394140788883
679,2.75454384637396
680,2.85838737923154
681,2.80726623934061
682,2.96012450962394
683,2.78215629892111
684,2.45133287661815
685,3.91610916567424
686,3.52998292286361
687,2.39891256675173
688,4.12711686824559
689,3.31920553616578
690,2.81847670382786
691,2.38617855993516
692,3.07257282928526
693,3.37542872313111
694,3.72091852260473
695,2.27365456457005
696,3.63810125082068
697,2.84931017835788
698,3.5992459605759
699,2.32872706659873
700,3.86223678724491
701,2.28116798466863
702,4.17901072995619
703,2.80651606631909
704,2.55061114195496
705,2.79629493054176
706,3.01326910486841
707,2.7956968959586
708,3.10858090934016
709,3.47217582256349
710,2.97828713288663
711,3.28635369047606
712,3.60683807731948
713,2.94784303490155
714,3.31350476968396
715,4.39970214530945
716,4.00773018023392
717,2.75511546900566
718,4.60033376774868
719,4.53822153395686
720,4.01424400929341
721,3.47752397196405
722,2.91586347514976
723,2.86974284445387
724,3.38181402920964
725,2.81066963589365
726,2.05585660878774
727,2.86336619405256
728,3.17963758779206
729,2.91833194396463
730,2.72673759406803
731,2.33390936551359
732,3.05339228002413
733,2.99910462150842
734,3.08279199969979
735,4.06586748769405
736,2.89379621403805
737,3.36407640256311
738,2.81494814100415
739,3.17982893069143
740,3.00830532584791
741,2.75386399535614
742,3.22776536731249
743,2.62780098255826
744,2.80909019878891
745,4.55989410840084
746,2.08410659140804
747,4.73689954238012
748,2.27547443622325
749,4.40722132468613
750,3.10804872946164
751,2.96059533071798
