Frame ID,Computer Time,ros time,Chunk Frame ID,Chunk Time,Latitude,Longitude
246,2025-08-11-09-40-04-053,1754923204,246,9.84187E+11,44.86781413,-93.6314782
247,2025-08-11-09-40-04-560,1754923205,247,9.84694E+11,44.8678142,-93.63147182
248,2025-08-11-09-40-05-066,1754923205,248,9.85201E+11,44.86781419,-93.63146564
249,2025-08-11-09-40-05-573,1754923206,249,9.85707E+11,44.86781433,-93.63145934
250,2025-08-11-09-40-06-085,1754923206,250,9.86214E+11,44.86781446,-93.63145298
251,2025-08-11-09-40-06-587,1754923207,251,9.86721E+11,44.86781454,-93.63144672
252,2025-08-11-09-40-07-093,1754923207,252,9.87227E+11,44.8678147,-93.63144069
253,2025-08-11-09-40-07-600,1754923208,253,9.87734E+11,44.86781469,-93.6314347
254,2025-08-11-09-40-08-110,1754923208,254,9.8824E+11,44.86781481,-93.63142843
255,2025-08-11-09-40-08-613,1754923209,255,9.88747E+11,44.86781507,-93.63142109
256,2025-08-11-09-40-09-120,1754923209,256,9.89253E+11,44.86781524,-93.63141638
257,2025-08-11-09-40-09-625,1754923210,257,9.8976E+11,44.86781537,-93.63141002
258,2025-08-11-09-40-10-133,1754923210,258,9.90267E+11,44.86781531,-93.63140486
259,2025-08-11-09-40-10-642,1754923211,259,9.90773E+11,44.86781552,-93.63139978
260,2025-08-11-09-40-11-147,1754923211,260,9.9128E+11,44.86781552,-93.63139483
261,2025-08-11-09-40-11-654,1754923212,261,9.91786E+11,44.86781563,-93.63138966
262,2025-08-11-09-40-12-164,1754923212,262,9.92293E+11,44.86781569,-93.63138379
263,2025-08-11-09-40-12-665,1754923213,263,9.928E+11,44.86781573,-93.63137832
264,2025-08-11-09-40-13-176,1754923213,264,9.93306E+11,44.86781567,-93.63137277
265,2025-08-11-09-40-13-679,1754923214,265,9.93813E+11,44.86781545,-93.63136725
266,2025-08-11-09-40-14-187,1754923214,266,9.94319E+11,44.86781552,-93.63136159
267,2025-08-11-09-40-14-693,1754923215,267,9.94826E+11,44.86781547,-93.63135544
268,2025-08-11-09-40-15-198,1754923215,268,9.95333E+11,44.86781564,-93.63135008
269,2025-08-11-09-40-15-705,1754923216,269,9.95839E+11,44.86781565,-93.63134486
270,2025-08-11-09-40-16-212,1754923216,270,9.96346E+11,44.8678156,-93.63133862
271,2025-08-11-09-40-16-722,1754923217,271,9.96853E+11,44.86781566,-93.63133346
272,2025-08-11-09-40-17-225,1754923217,272,9.97359E+11,44.86781548,-93.63132832
273,2025-08-11-09-40-17-732,1754923218,273,9.97866E+11,44.86781539,-93.63132344
274,2025-08-11-09-40-18-243,1754923218,274,9.98373E+11,44.86781536,-93.63131858
275,2025-08-11-09-40-18-751,1754923219,275,9.98879E+11,44.86781533,-93.63131338
276,2025-08-11-09-40-19-257,1754923219,276,9.99386E+11,44.86781538,-93.63130787
277,2025-08-11-09-40-19-762,1754923220,277,9.99892E+11,44.86781516,-93.63130223
